"catalogue_id","category_verbatim","product_verbatim","variant_reference","size_dimension_verbatim","specification_verbatim","material_explicit","customisation_reference","catalogue_page","presence_status","current_business_status","evidence_basis","notes"
"CAT-024","Tapes","BROWN TAPE","Not separately stated; named options retained as source product blocks","Brown Bopp Tape (3Inch X 65mtr); Brown Bopp Tape (3Inch X 150mtr)","Brown Bopp Tape","Not separately stated","Not stated","18","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-025","Tapes","HANDLE WITH CARE","Not separately stated; named options retained as source product blocks","65MTR (42MICRON)","42MICRON","Not separately stated","Not stated","18","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Width not stated in product copy"
"CAT-026","Tapes","CUSTOMISE TAPE","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","CUSTOMISE","19","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-027","Tapes","FLIPKART TAPE","Not separately stated; named options retained as source product blocks","(2inch x 60Mtr) – 38Micron; (2inch x 100Mtr) – 38Micron","38Micron","Not separately stated","Not stated","19","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-028","Tapes","FLIPKART PLUS TAPE","Not separately stated; named options retained as source product blocks","(2.5 inches x 60mtr)","Not stated","Not separately stated","Not stated","19","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-029","Tapes","FLIPKART HANDLE WITH CARE 60MTR","Not separately stated; named options retained as source product blocks","Contact Us","60MTR in title","Not separately stated","Not stated","20","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-030","Tapes","AMAZON.IN TAPE (TRANSPARENT)","Not separately stated; named options retained as source product blocks","(2inch x 60mtr) – 38Micron","38Micron; TRANSPARENT","Not separately stated","Not stated","20","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-031","Tapes","AMAZON.IN TAPE (MILKY)","Not separately stated; named options retained as source product blocks","(2inch x 60mtr) – 38Micron","38Micron; MILKY","Not separately stated","Not stated","20","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-032","Tapes","AMAZON PRIME TAPE","Not separately stated; named options retained as source product blocks","(3inch X 60Mtr) – 38Micron","38Micron","Not separately stated","Not stated","21","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-033","Tapes","SNAPDEAL TAPE","Not separately stated; named options retained as source product blocks","Contact us","Not stated","Not separately stated","Not stated","21","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-034","Tapes","MYNTRA TAPE","Not separately stated; named options retained as source product blocks","Myntra Tape (3inch×65mtr)","Not stated","Not separately stated","Not stated","21","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-035","Tapes","PAYTM TAPE","Not separately stated; named options retained as source product blocks","(2inch x 60mtr) – 38 Micron","38 Micron","Not separately stated","Not stated","22","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-036","Tapes","MASKING TAPE","Not separately stated; named options retained as source product blocks","Masking Tape (1inch×30mtr)","Not stated","Not separately stated","Not stated","22","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-037","Tapes","DOUBLE SIDE FOAM TAPE","Not separately stated; named options retained as source product blocks","Contact us","Not stated","Not separately stated","Not stated","22","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-038","PROTECTIVE PACKAGING","STRECH FILM ROLL","Not separately stated; named options retained as source product blocks","3”; 4”; 6”; 12”; 18”","Not stated","Not separately stated","Not stated","24","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","STRECH spelling preserved; measurement role and roll length not specified"
"CAT-039","PROTECTIVE PACKAGING","BUBBLE ROLL","Not separately stated; named options retained as source product blocks","BUBBLE WRAP ROLL (70GSM X 50MTR)","70GSM X 50MTR","Not separately stated","Not stated","24","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-040","PROTECTIVE PACKAGING","HONEY COMB WRAP","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","Not stated","25","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-041","PROTECTIVE PACKAGING","CORRUGATED SHEET ROLL","Not separately stated; named options retained as source product blocks","BUBBLE WRAP ROLL (70GSM X 50MTR)","BUBBLE WRAP ROLL (70GSM X 50MTR)","Not separately stated","Not stated","25","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Printed under corrugated heading; possible copied specification; do not apply it as corrected corrugated data"
"CAT-042","BOPP BAGS","BOPP BAGS","Not separately stated; named options retained as source product blocks","4x5”; 5x7”; 6x8”; 8x10”; 9x12”; 10x14”; 12x16”; 11x16”; 12x18”; 14x18”; 16x20”; 18x22”","Bopp Transparent Bags repeated for each size","Not separately stated","Not stated","26","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","BOPP only named; no additional composition/thickness inferred"
"CAT-043","CARRY BAGS","V- BOTTOM BAGS","Not separately stated; named options retained as source product blocks","9x13”; 12x18”; 14x22”; 18x25”; 22x28”; 26x36”; 28x44”; 32x48”","Not stated","Not separately stated","Not stated","28","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-044","CARRY BAGS","CARRY BAGS","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","Not stated","28","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-045","CARRY BAGS","SQUARE BOTTOM BAGS","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","Not stated","28","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-046","CARRY BAGS","D Cut Carry Bags","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","Not stated","29","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text",""
"CAT-047","CARRY BAGS","W Cut Carry Bags Paper","Not separately stated; named options retained as source product blocks","Contact Us","Not stated","Not separately stated","Not stated","29","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Paper is part of title; do not infer complete material composition"
"CAT-048","ADDITIONAL PRODUCTS","OFFICE STATIONARY","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Unusual spelling preserved; no technical sizes/specifications provided"
"CAT-049","ADDITIONAL PRODUCTS","CARRY BAGS","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
"CAT-050","ADDITIONAL PRODUCTS","POUCHES","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
"CAT-051","ADDITIONAL PRODUCTS","NAPKIN","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
"CAT-052","ADDITIONAL PRODUCTS","CUSTOM PRINTED NAPKEEN","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","CUSTOM PRINTED","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Unusual spelling preserved; no technical sizes/specifications provided"
"CAT-053","ADDITIONAL PRODUCTS","SLIVER POUCHES","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Unusual spelling preserved; no technical sizes/specifications provided"
"CAT-054","ADDITIONAL PRODUCTS","RIGID BOXES","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
"CAT-055","ADDITIONAL PRODUCTS","BUBBLE WRAP","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
"CAT-056","ADDITIONAL PRODUCTS","STRECH FILM","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Unusual spelling preserved; no technical sizes/specifications provided"
"CAT-057","ADDITIONAL PRODUCTS","SHRINK WRAP","Not separately stated; named options retained as source product blocks","Not stated","Not stated","Not separately stated","Not stated","30","PRESENT IN CATALOGUE","CURRENT STATUS REQUIRES CONFIRMATION","Rendered page + PDF text","Additional-list mention only; no sizes/specifications provided"
