"reference_id","source","source_section","source_page","proposed_category","product_name_verbatim","variant","size","dimension","material","additional_specification","customisation_availability","current_availability","manufacturing_status","verification_status","notes"
"REF-021","Written user brief","Billing","CONTENT REQUIRED","Stationery Products","POS Thermal Billing Roll","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-022","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Transparent Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-023","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Brown BOPP Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-024","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Handle With Care Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-025","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Customised Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-026","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Flipkart Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-027","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Flipkart Plus Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-028","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Flipkart Handle With Care","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-029","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Amazon.in Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-030","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Amazon Prime Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-031","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Snapdeal Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-032","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Myntra Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-033","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Paytm Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-034","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Masking Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-035","Written user brief","Tapes","CONTENT REQUIRED","Tapes","Double Side Foam Tape","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-036","Written user brief","Protective Packaging","CONTENT REQUIRED","Protective Packaging","Stretch Film Roll","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-037","Written user brief","Protective Packaging","CONTENT REQUIRED","Protective Packaging","Bubble Roll","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-038","Written user brief","Protective Packaging","CONTENT REQUIRED","Protective Packaging","Honeycomb Wrap","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-039","Written user brief","Protective Packaging","CONTENT REQUIRED","Protective Packaging","Corrugated Sheet Roll","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-040","Written user brief","BOPP","CONTENT REQUIRED","Carry Bags & Pouches","Transparent BOPP Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","Brief says multiple sizes; measurements absent"
"REF-041","Written user brief","Carry Bags","CONTENT REQUIRED","Carry Bags & Pouches","V-Bottom Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-042","Written user brief","Carry Bags","CONTENT REQUIRED","Carry Bags & Pouches","Carry Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-043","Written user brief","Carry Bags","CONTENT REQUIRED","Carry Bags & Pouches","Square Bottom Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-044","Written user brief","Carry Bags","CONTENT REQUIRED","Carry Bags & Pouches","D-Cut Carry Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-045","Written user brief","Carry Bags","CONTENT REQUIRED","Carry Bags & Pouches","W-Cut Paper Carry Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-046","Written user brief","Additional products","CONTENT REQUIRED","Stationery Products","Office Stationery","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-047","Written user brief","Additional products","CONTENT REQUIRED","Stationery Products","Napkin","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-048","Written user brief","Additional products","CONTENT REQUIRED","Stationery Products","Custom Printed Napkin","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-049","Written user brief","Additional products","CONTENT REQUIRED","Carry Bags & Pouches","Carry Bags","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-050","Written user brief","Additional products","CONTENT REQUIRED","Carry Bags & Pouches","Pouches","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-051","Written user brief","Additional products","CONTENT REQUIRED","Carry Bags & Pouches","Silver Pouches","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-052","Written user brief","Additional products","CONTENT REQUIRED","Corrugated Boxes","Rigid Boxes","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-053","Written user brief","Additional products","CONTENT REQUIRED","Protective Packaging","Bubble Wrap","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-054","Written user brief","Additional products","CONTENT REQUIRED","Protective Packaging","Stretch Film","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
"REF-055","Written user brief","Additional products","CONTENT REQUIRED","Protective Packaging","Shrink Wrap","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","CONTENT REQUIRED","Requires owner confirmation","Unknown","Unknown","Unverified","PDF page and product/family/variant mapping pending; no public publication"
